Rowid,Number_of_axles,Tollplaza_id,Tollplaza_code
1,2,4856,PC7C042B7
2,2,4154,PC2C2EF9E
3,2,4070,PCEECA8B2
4,2,4095,PC3E1512A
5,2,4135,PCC943ECD
6,2,4680,PCC422F4D
7,2,4702,PCDBC3AC9
8,2,4592,PC627AA14
9,2,4100,PCC6DD8D5
10,2,4143,PC5F47DCF
11,2,4466,PC6E93A05
12,2,4352,PC99B9343
13,2,4574,PCC1F6F13
14,2,4902,PC425C6EC
15,2,4012,PCEF5C190
16,2,4458,PCECEBBFA
17,2,4886,PC4D892D7
18,4,4680,PCC422F4D
19,2,4899,PC4967767
20,2,4855,PC03C5C15
21,2,4737,PCED7EAFE
22,2,4140,PC5D4821F
23,2,4961,PC92C5115
24,2,4148,PCDFBBEBB
25,2,4630,PCA26D872
26,2,5003,PCAC9371E
27,2,4243,PCC4F7DCE
28,2,4023,PC77793DF
29,2,4987,PCF4A9637
30,2,4755,PC628DCED
31,4,4079,PCF1366ED
32,2,4616,PCE6675F9
33,4,4245,PC6594AD4
34,4,4090,PC1EE951B
35,4,4383,PC4BFE950
36,2,4449,PCAACD453
37,2,4351,PC4E572D8
38,2,4159,PC5631507
39,2,4018,PCCB2657A
40,2,4827,PC7D68CD9
41,2,4115,PCF5D4B0A
42,2,4102,PC8C9B099
43,2,4398,PCE60D320
44,2,4918,PC8F8E598
45,2,4984,PCBABF130
46,4,4460,PCDF04952
47,2,4326,PC356AE8F
48,2,4600,PCB99E8F9
49,2,4735,PC2294422
50,2,4162,PC51A39A7
51,2,4012,PCEF5C190
52,2,4223,PCA37D114
53,2,4990,PCFE28E92
54,2,4154,PC2C2EF9E
55,2,4913,PC685427C
56,4,4388,PC803F0F2
57,2,4299,PCAD3B9BC
58,2,4725,PCB905D54
59,2,4229,PCD0DDD3D
60,2,4354,PC0671DD4
61,2,4127,PCA2D76A5
62,4,4522,PC0A326BE
63,4,4410,PC6EFC03B
64,2,4689,PC89C35AD
65,2,4296,PCA24C1E1
66,2,4303,PC2E2E0C0
67,2,4346,PCA35B156
68,2,4253,PC82A16E6
69,2,5007,PC869BDE8
70,2,4534,PCAD9E1F9
71,2,4742,PC05B8749
72,2,4944,PC41EEC34
73,2,4171,PC36C9AE8
74,2,4750,PCD987A9D
75,2,4878,PC08F56A1
76,2,4274,PC88EA64E
77,2,4377,PC4AC8EAD
78,2,4265,PC5B2AFFA
79,2,4304,PC89FB76E
80,2,4797,PCE2D63A7
81,4,4061,PC3A63A79
82,4,4085,PC6150735
83,2,4675,PCE49911B
84,4,4997,PC8111910
85,2,4241,PC7241796
86,2,4890,PCAFC8A56
87,2,4537,PC10C700F
88,2,4743,PCE6EEF2E
89,2,4026,PC2CE9851
90,2,4373,PC8806694
91,4,4116,PCCA836C9
92,4,4785,PC787D664
93,2,5002,PC585BD38
94,2,4728,PC07BF95F
95,4,4015,PC524833E
96,2,4817,PCFF02057
97,4,4857,PC59F4E22
98,2,4724,PC3DE08BF
99,4,4725,PCB905D54
100,2,4591,PCC9875AC
101,4,4792,PC3E35002
102,2,4927,PC2D22627
103,2,4397,PCB070250
104,4,4195,PC308070B
105,4,4336,PCD30AB50
106,4,4520,PC8140983
107,2,4328,PC3777B8E
108,2,4749,PC65C93B7
109,2,4990,PCFE28E92
